('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         757107 function calls (736878 primitive calls) in 1.933 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      690    0.000    0.000    0.001    0.000 sre_parse.py:433(_uniq)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
  456/437    0.000    0.000    0.007    0.000 typing.py:306(inner)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      710    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       24    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
    208/6    0.000    0.000    0.160    0.027 <frozen importlib._bootstrap_external>:877(exec_module)
       77    0.000    0.000    0.003    0.000 css_parser.py:462(parse_attribute_selector)
      151    0.000    0.000    0.001    0.000 typing_extensions.py:2989(_collect_type_vars)
       61    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
     3795    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      318    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      624    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      272    0.000    0.000    0.303    0.001 _models.py:884(iter_bytes)
       13    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
      122    0.000    0.000    0.000    0.000 sre_compile.py:437(<listcomp>)
     1450    0.000    0.000    0.000    0.000 _connection.py:212(their_state)
      421    0.000    0.000    0.000    0.000 sre_parse.py:259(getwhile)
       89    0.000    0.000    0.004    0.000 dataclasses.py:412(_create_fn)
      615    0.000    0.000    0.003    0.000 enum.py:359(__call__)
      586    0.000    0.000    0.000    0.000 _receivebuffer.py:77(maybe_extract_at_most)
  234/231    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      313    0.000    0.000    1.327    0.004 ssl.py:1281(recv)
      272    0.000    0.000    0.000    0.000 _events.py:299(__init__)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     2770    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      554    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      151    0.000    0.000    0.000    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
      194    0.000    0.000    0.001    0.000 enum.py:986(__and__)
 1138/810    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.003    0.003 _models.py:641(text)
       94    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      313    0.000    0.000    1.326    0.004 ssl.py:1150(read)
