('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         737403 function calls (717066 primitive calls) in 1.807 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1036    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       12    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
      191    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
     1036    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      264    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
    71/37    0.000    0.000    0.103    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       42    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
       47    0.000    0.000    0.001    0.000 abc.py:105(__new__)
      332    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
      221    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      312    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:1360(_real_close)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      521    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      232    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
       31    0.000    0.000    0.001    0.000 typing.py:1138(__getitem__)
       69    0.000    0.000    0.000    0.000 css_parser.py:532(parse_tag_pattern)
       48    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
        2    0.000    0.000    0.010    0.005 connection.py:1(<module>)
       10    0.000    0.000    0.002    0.000 enum.py:483(_create_)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      407    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      188    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      332    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
      409    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      408    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
      228    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
