('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         737441 function calls (717118 primitive calls) in 6.817 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  210/176    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
     2785    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      591    0.000    0.000    0.001    0.000 enum.py:678(__new__)
      474    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      405    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      926    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      323    0.000    0.000    1.200    0.004 ssl.py:1150(read)
  184/180    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     2734    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      207    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      479    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      190    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      813    0.000    0.000    0.000    0.000 element.py:1543(get)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
     1379    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       70    0.000    0.000    0.001    0.000 typing.py:1016(__init__)
       47    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      207    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      190    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
        1    0.000    0.000    6.817    6.817 financial.py:1(<module>)
      120    0.000    0.000    0.001    0.000 _markupbase.py:165(parse_comment)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      588    0.000    0.000    0.000    0.000 typing.py:935(_is_dunder)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
     2521    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      175    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
  575/556    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      321    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      190    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      737    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      581    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      325    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
      167    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
       76    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
